2016-03-29 12:02:22.589000 Write 5-min OHLC
2016-03-29 12:02:22.591000 Write 5-min OHLC
2016-03-29 12:02:22.593000 Write 5-min OHLC
2016-03-29 12:02:22.595000 Write 5-min OHLC
2016-03-29 12:02:22.596000 Write 5-min OHLC
2016-03-29 12:02:22.598000 Write 5-min OHLC
2016-03-29 12:02:22.600000 Write 5-min OHLC
2016-03-29 12:02:22.602000 Write 5-min OHLC
2016-03-29 12:02:22.603000 Write 5-min OHLC
2016-03-29 12:02:22.605000 Write 5-min OHLC
2016-03-29 12:02:22.607000 Write 5-min OHLC
2016-03-29 12:02:22.609000 Write 5-min OHLC
2016-03-29 12:02:22.611000 Write 5-min OHLC
2016-03-29 12:02:22.613000 Write 5-min OHLC
2016-03-29 12:02:22.614000 Write 5-min OHLC
2016-03-29 12:02:22.616000 Write 5-min OHLC
2016-03-29 12:02:22.618000 Write 5-min OHLC
2016-03-29 12:02:22.620000 Write 5-min OHLC
2016-03-29 12:02:22.622000 Write 5-min OHLC
2016-03-29 12:02:22.624000 Write 5-min OHLC
2016-03-29 12:02:22.626000 Write 5-min OHLC
2016-03-29 12:02:22.627000 Write 5-min OHLC
2016-03-29 12:02:22.629000 Write 5-min OHLC
2016-03-29 12:02:22.631000 Write 5-min OHLC
2016-03-29 12:02:22.633000 Write 5-min OHLC
2016-03-29 12:02:22.635000 Write 5-min OHLC
2016-03-29 12:02:22.636000 Write 5-min OHLC
2016-03-29 12:02:22.638000 Write 5-min OHLC
2016-03-29 12:02:22.640000 Write 5-min OHLC
2016-03-29 12:02:22.642000 Write 5-min OHLC
2016-03-29 12:02:22.644000 Write 5-min OHLC
2016-03-29 12:02:22.646000 Write 5-min OHLC
2016-03-29 12:02:22.648000 Write 5-min OHLC
2016-03-29 12:02:22.650000 Write 5-min OHLC
2016-03-29 12:02:22.651000 Write 5-min OHLC
2016-03-29 12:02:22.653000 Write 5-min OHLC
2016-03-29 12:02:22.659000 Write 5-min OHLC
2016-03-29 12:02:22.661000 Write 5-min OHLC
2016-03-29 12:02:22.663000 Write 5-min OHLC
2016-03-29 12:02:22.665000 Write 5-min OHLC
2016-03-29 12:02:22.667000 Write 5-min OHLC
2016-03-29 12:02:22.669000 Write 5-min OHLC
2016-03-29 12:02:22.671000 Write 5-min OHLC
2016-03-29 12:02:22.674000 Write 5-min OHLC
2016-03-29 12:02:22.675000 Write 5-min OHLC
2016-03-29 12:02:22.678000 Write 5-min OHLC
2016-03-29 12:02:22.680000 Write 5-min OHLC
2016-03-29 12:02:22.682000 Write 5-min OHLC
2016-03-29 12:02:22.684000 Write 5-min OHLC
2016-03-29 12:02:22.685000 Write 5-min OHLC
2016-03-29 12:02:22.690000 Write 5-min OHLC
2016-03-29 12:02:22.692000 Write 5-min OHLC
2016-03-29 12:02:22.694000 Write 5-min OHLC
2016-03-29 12:02:22.696000 Write 5-min OHLC
2016-03-29 12:02:22.698000 Write 5-min OHLC
2016-03-29 12:02:22.700000 Write 5-min OHLC
2016-03-29 12:02:22.702000 Write 5-min OHLC
2016-03-29 12:02:22.704000 Write 5-min OHLC
